Name,Formula,Solubility at 20°C
Thallium(I) cyanide,TlCN,16.8
Thallium(I) fluoride,TlF,78.6
Thallium(I) formate,TlHCO2,500.0
Thallium(I) hydroxide,TlOH,35.0
Thallium(I) iodate,TlIO3,0.06678
Thallium(I) iodide,TlI,0.006
Thallium(I) nitrate,TlNO3,9.55
Thallium(I) oxalate,Tl2C2O4,1.83
Thallium(I) perchlorate,TlClO4,13.1
Thallium(I) phosphate,Tl3PO4,0.15
Thallium(I) pyrophosphate,Tl4P2O7,40.0
Thallium(I) selenate,Tl2SeO4,2.8
Thallium(I) sulfate,Tl2SO4,4.87
Thallium(I) thiocyanate,TlSCN,0.000132
Thallium(I) vanadate,TlVO3,0.87
Thorium(IV) fluoride,ThF4·4H2O,0.914
Thorium(IV) iodate,Th(IO3)4,0.03691
Thorium(IV) nitrate,Th(NO3)4,191.0
Thorium(IV) selenate,Th(SeO4)2·9H2O,
Thorium(IV) sulfate,Th(SO4)2·9H2O,1.38
Thulium(III) nitrate,Tm(NO3)3,212.0
Tin(II) bromide,SnBr2,
Tin(II) chloride,SnCl2,
Tin(II) fluoride,SnF2,30.0
Tin(II) iodide,SnI2,0.99
Tin(II) sulfate,SnSO4,18.9
Trehalose,C12H22O11,68.9
Uranyl acetate,UO2(C2H3O2)2,7.69
Uranyl chloride,UO2Cl2,320.0
Uranyl formate,UO2(HCO2)2,7.2
Uranyl iodate,UO2(IO3)2,0.124
Uranyl nitrate,UO2(NO3)2,122.0
Uranyl oxalate,UO2C2O4,0.5
Uranyl sulfate,UO2SO4,21.0
Urea,CO(NH2)2,108.0
Vanadium(V) oxide,V2O5,0.8
Xenon,Xe,
Xylose,C5H10O5,117.0
Ytterbium(III) nitrate,Yb(NO3)3,239.0
Ytterbium(III) sulfate,Yb2(SO4)3,38.4
Yttrium(III) acetate,Y(C2H3O2)3,9.03
Yttrium(III) bromate,Y(BrO3)3,168.0
Yttrium(III) bromide,YBr3,75.1
Yttrium(III) chloride,YCl3,78.8
Yttrium(III) fluoride,YF3,0.005769
Yttrium(III) nitrate,Y(NO3)3,123.0
Yttrium(III) sulfate,Y2(SO4)3,7.3
Zinc acetate,Zn(C2H3O2)2,30.0
Zinc bromide,ZnBr2,446.0
Zinc carbonate,ZnCO3,4.6920000000000005e-05
Zinc chlorate,Zn(ClO3)2,200.0
Zinc chloride,ZnCl2,395.0
Zinc cyanide,Zn(CN)2,0.058
Zinc fluoride,ZnF2,1.6
Zinc formate,Zn(HCO2)2,5.2
Zinc iodate,Zn(IO3)2·2H2O,0.07749
Zinc iodide,ZnI2,432.0
Zinc nitrate,Zn(NO3)2,138.0
Zinc oxalate,ZnC2O4,1.38e-09
Zinc oxide,ZnO,0.00042
Zinc permanganate,Zn(MnO4)2,33.3
Zinc sulfate,ZnSO4,53.8
Zinc sulfite,ZnSO3,0.16
Zinc tartrate,ZnC4H4O6,0.022
Zirconium fluoride,ZrF4,1.32
Zirconium sulfate,Zr(SO4)2,52.5
