Name,Formula,Solubility at 20°C
Calcium acetate,Ca(C2H3O2)2,34.7
Calcium arsenate,Ca3(AsO4)2,0.003629
Calcium azide,Ca(N3)2,45.0
Calcium benzoate,Ca(C7H5O2)2·3H2O,2.72
Calcium bicarbonate,Ca(HCO3)2,16.6
Calcium bromate,Ca(BrO3)2,230.0
Calcium bromide,CaBr2,143.0
Calcium carbonate,CaCO3,0.000617
Calcium chlorate,Ca(ClO3)2,209.0
Calcium chloride,CaCl2,74.5
Calcium chromate,CaCrO4,2.25
Calcium citrate,Ca3(C6H5O7)2,0.095
Monocalcium phosphate,Ca(H2PO4)2,1.8
Calcium fluoride,CaF2,
Calcium fluorosilicate,CaSiF6,0.518
Calcium formate,Ca(HCO2)2,16.6
Dicalcium phosphate,CaHPO4,0.004303
Calcium hydroxide,Ca(OH)2,0.173
Calcium iodate,Ca(IO3)2,0.24
Calcium iodide,CaI2,66.0
Calcium molybdate,CaMoO4,0.004099
Calcium nitrate,Ca(NO3)2,121.2
Calcium oxalate,CaC2O4,0.00067
Calcium oxide,CaO,
Calcium perchlorate,Ca(ClO4)2,188.0
Calcium permanganate,Ca(MnO4)2,338.0
Calcium phosphate,Ca3(PO4)2,0.002
Calcium selenate,CaSeO4·2H2O,9.22
Calcium sulfate,CaSO4·2H2O,0.255
Calcium tungstate,CaWO4,0.002387
Carbon dioxide,CO2,0.1782
Carbon monoxide,CO,0.0026
Cerium(III) acetate,Ce(C2H3O2)3,0.35
Cerium(III) chloride,CeCl3,100.0
Cerium(III) hydroxide,Ce(OH)3,9.43e-05
Cerium(III) iodate,Ce(IO3)3,0.123
Cerium(III) nitrate,Ce(NO3)3,234.0
Cerium(III) phosphate,CePO4,7.434e-11
Cerium(III) selenate,Ce2(SeO4)3,35.2
Cerium(III) sulfate,Ce2(SO4)3·2H2O,9.84
Cerium(IV) hydroxide,Ce(OH)4,1.9810000000000002e-05
Chromium(III) nitrate,Cr(NO3)3,130.0
Chromium(III) perchlorate,Cr(ClO4)3,130.0
Chromium(III) sulfate,Cr2(SO4)3·18H2O,220.0
Chromium(VI) oxide,CrO3,63.0
Cobalt(II) bromate,Co(BrO3)2·6H2O,45.5
Cobalt(II) bromide,CoBr2,112.0
Cobalt(II) chlorate,Co(ClO3)2,180.0
Cobalt(II) chloride,CoCl2,52.9
Cobalt(II) fluoride,CoF2,1.36
Cobalt(II) fluorosilicate,CoSiF6·6H2O,118.0
Cobalt(II) iodate,Co(IO3)2·2H2O,1.02
Cobalt(II) iodide,CoI2,203.0
Cobalt(II) nitrate,Co(NO3)2,97.4
Cobalt(II) nitrite,Co(NO2)2,0.4
Cobalt oxalate,CoC2O4·2H2O,2.6972e-09
Cobalt(II) perchlorate,Co(ClO4)2,104.0
Cobalt(II) sulfate,CoSO4,36.1
Copper(I) chloride,CuCl,0.0099
Copper(I) cyanide,CuCN,1.6020000000000003e-09
Copper(I) hydroxide,CuOH,8.055e-07
Copper(I) iodide,CuI,0.0042
Copper(I) sulfide,Cu2S,1.361e-15
Copper(I) thiocyanate,CuSCN,8.426999999999999e-07
Copper(II) bromide,CuBr2,126.0
Copper(II) carbonate,CuCO3,0.0001462
Copper(II) chlorate,Cu(ClO3)2,242.0
Copper(II) chloride,CuCl2,73.0
Copper(II) chromate,CuCrO4,0.03407
Copper(II) fluoride,CuF2,0.075
Copper(II) fluorosilicate,CuSiF6,81.6
Copper(II) formate,Cu(HCO2)2,12.5
Copper(II) hydroxide,Cu(OH)2,1.722e-06
Copper(II) iodate,Cu(IO3)2·2H2O,0.109
Copper(II) nitrate,Cu(NO3)2,125.0
Copper oxalate,CuC2O4·2H2O,2.1627000000000002e-10
Copper(II) perchlorate,Cu(ClO4)2,146.0
Copper(II) selenate,CuSeO4,17.5
Copper(II) selenite,CuSeO3,0.002761
Copper(II) sulfate,CuSO4·5H2O,32.0
Copper(II) sulfide,CuS,2.4100000000000003e-17
Dysprosium(III) chromate,Dy2(CrO4)3·10H2O,0.663
Dysprosium(III) sulfate,Dy2(SO4)3·8H2O,4.83
Erbium(III) hydroxide,Er(OH)3,1.3630000000000002e-05
Erbium(III) sulfate,Er2(SO4)3,13.79
Erbium(III) sulfate,Er2(SO4)3,16.0
Europium(III) hydroxide,Eu(OH)3,1.5380000000000002e-05
Europium(III) sulfate,Eu2(SO4)3,2.56
Ferrous ammonium sulfate,(NH4)2Fe(SO4)2·6H2O,26.9
Fructose,C6H12O6,375.0
Gadolinium(III) acetate,Gd(C2H3O2)3,11.6
Gadolinium(III) bicarbonate,Gd(HCO3)3,5.61
Gadolinium(III) bromate,Gd(BrO3)3,95.6
Gadolinium(III) hydroxide,Gd(OH)3,1.882e-05
Gadolinium(III) sulfate,Gd2(SO4)3,2.6
D-Galactose,C6H12O6,10.3
Gallium chloride,GaCl3,180.0
Gallium hydroxide,Ga(OH)3,8.616000000000001e-09
Gallium oxalate,Ga2(C2O4)3,0.4
Gallium selenate,Ga2(SeO4)3,18.1
D-Glucose,C6H12O6,90.0
Gold(III) chloride,AuCl3,68.0
Gold(V) oxalate,Au2(C2O4)5,0.258
Hafnium(III) hydroxide,Hf(OH)3,0.00045030000000000005
Hafnium(IV) hydroxide,Hf(OH)4,4.503e-06
Helium,He,0.6
Holmium(III) hydroxide,Ho(OH)3,2.5190000000000004e-05
Holmium(III) sulfate,Ho2(SO4)3·8H2O,8.18
Hydrogen chloride,HCl,70.0
Hydrogen sulfide,H2S,0.33
Indium(III) bromide,InBr3,571.0
Indium(III) chloride,InCl3,212.0
Indium(III) fluoride,InF3,11.2
Indium(III) hydroxide,In(OH)3,3.645e-08
Indium(III) iodate,In(IO3)3,0.067
Indium(III) sulfide,In2S3,2.867e-14
Iron(II) bromide,FeBr2,117.0
Iron(II) carbonate,FeCO3,6.554000000000001e-05
Iron(II) chloride,FeCl2,62.5
Iron(II) fluorosilicate,FeSiF6·6H2O,77.0
Iron(II) hydroxide,Fe(OH)2,5.2550000000000003e-05
Iron(II) nitrate,Fe(NO3)2·6H2O,134.0
Iron(II) oxalate,FeC2O4·2H2O,0.008
Iron(II) perchlorate,Fe(ClO4)2·6H2O,299.0
Iron(II) sulfate,FeSO4,28.8
Iron(III) arsenate,FeAsO4,1.47e-09
Iron(III) chloride,FeCl3·6H2O,91.8
Iron(III) fluoride,FeF3,0.091
Iron(III) hydroxide,Fe(OH)3,2.097e-09
Iron(III) iodate,Fe(IO3)3,0.36
Iron(III) nitrate,Fe(NO3)3,138.0
Iron(III) perchlorate,Fe(ClO4)3,368.0
Iron(III) sulfate,Fe2(SO4)3,25.6
Lactose,C12H22O11,8.0
Lanthanum(III) acetate,La(C2H3O2)3,16.9
Lanthanum(III) bromate,La(BrO3)3,149.0
Lanthanum(III) carbonate,La2(CO3)3,1.25e-05
Lanthanum(III) iodate,La(IO3)3,0.04575
